oid,matched_via,report_title,db_author,report_author
18398,2001 ND 26,"Carry Mocassin, et al. v. State Farm",(none),Per Curiam
13187,2000 ND 125,Disciplinary Board v. Roybal,(none),Per Curiam
13189,2000 ND 126,Disciplinary Board v. Stevenson,(none),Per Curiam
13206,2000 ND 146,Disciplinary Action Against Robb,(none),Per Curiam
18357,2000 ND 197,State v. Wilson,(none),Per Curiam
18349,2000 ND 171,"Coleman v. Goulet, f/k/a Chase",(none),Per Curiam
18350,2000 ND 172,City of Fargo v. Hersch,(none),Per Curiam
18358,2000 ND 198,State v. Lunstad,(none),Per Curiam
18359,2000 ND 199,State v. Gehring,(none),Per Curiam
18355,2000 ND 193,"Lake Region Lutheran Home, Inc. v. Halvorson, et al.",(none),Per Curiam
13359,2001 ND 39,Runge v. Runge,(none),Per Curiam
18354,2000 ND 191,"Belisle v. Gibson, et al.",(none),Per Curiam
18395,2001 ND 23,"Weathers, et al. v. Peters, et al.",(none),Per Curiam
13321,2000 ND 211,"Syvertson v. Malaktaris, et al.",(none),Per Curiam
18394,2001 ND 22,Fredericks v. American Federal Bank,(none),Per Curiam
18403,2001 ND 5,State v. Kelly,(none),Per Curiam
18356,2000 ND 195,Schumacher v. Schumacher                              (Cross-ref. w/990016),(none),Per Curiam
18353,2000 ND 180,"Schuh, et al. v. Weiss, et al.",(none),Per Curiam
18361,2000 ND 215,State v. Lee,(none),Per Curiam
18360,2000 ND 213,"Matrix Properties, Corp. v. TAG Investments, et al. (cross-ref. w/990336)",(none),Per Curiam
18347,2000 ND 140,Designation of the Erickstad Courtroom,(none),Per Curiam
18400,2001 ND 3,City of Fargo v. Salsman,(none),Per Curiam
18362,2000 ND 216,Mondry v. Mondry,(none),Per Curiam
13299,2001 ND 7,Disciplinary Board v. Howe,(none),Per Curiam
13277,2000 ND 221,Disciplinary Board v. Keller,(none),Per Curiam
18396,2001 ND 24,Wilson v. State   (cross-reference w/990193),(none),Per Curiam
13342,2001 ND 55,Disciplinary Board v. Hawkins,(none),Per Curiam
18402,2001 ND 49,State v. Knudson,(none),Per Curiam
18393,2001 ND 2,Englund v. State    (Consolidated w/20000251 through 20000254),(none),Per Curiam
18401,2001 ND 42,State v. Keeney,(none),Per Curiam
13252,2000 ND 194,Disciplinary Board v. Robb   (Cross-reference w/ 20000096),(none),Per Curiam
18405,2001 ND 64,State v. Axtman,(none),Per Curiam
18383,2001 ND 129,"Interest of P.M., et al. (CONFIDENTIAL)",(none),Per Curiam
18399,2001 ND 27,Strutz v. State,(none),Per Curiam
18411,2001 ND 89,Kinzley v. Kinzley,(none),Per Curiam
18406,2001 ND 65,State v. Klein,(none),Per Curiam
18377,2001 ND 107,State v. Abnar     (CONSOLIDATED w/20000288),(none),Per Curiam
18407,2001 ND 75,Halvorson v. Halvorson,(none),Per Curiam
18376,2001 ND 106,State v. Aune                                  (cross-ref. w/20020106),(none),Per Curiam
18379,2001 ND 115,Demarce v. State     (CONSOLIDATED W/20000304),(none),Per Curiam
18386,2001 ND 161,State v. Ballard,(none),Per Curiam
18409,2001 ND 77,Yantzer v. Yantzer,(none),Per Curiam
18410,2001 ND 79,Young v. Johnson,(none),Per Curiam
18375,2001 ND 105,State v. Schwartz,(none),Per Curiam
13370,2001 ND 86,Disciplinary Board v. Howe,(none),Per Curiam
18397,2001 ND 25,Interest of J.S. (CONFIDENTIAL-M.H.),(none),Per Curiam
13303,2001 ND 10,Interest of J.S. (CONFIDENTIAL-M.H.),Sandstrom,Per Curiam
18404,2001 ND 50,Dvorak v. State,(none),Per Curiam
18385,2001 ND 160,Stockert v. Stockert,(none),Per Curiam
