opinion_id,citation,case_name,date_filed,reporter,status,db_words,src_words,diff_words,similarity,source_path
130,14 N.D. 380,Spoonheim v. Spoonheim,1905-06-21,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0380-Spoonheim-v-Spoonheim.doc
131,14 N.D. 375,Schwoebel v. Fugina,1905-06-19,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0375-Schwoebel-v-Fugina.doc
132,14 N.D. 414,Johnson v. Erickson,1905-11-29,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0414-Johnson-v-Erickson.doc
133,15 N.D. 34,Orvik v. Casselman,1905-12-20,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./15/0034-Orvik-v-Casselman.doc
134,15 N.D. 86,"Marck v. Minneapolis, St. Paul & Sault Ste. Marie Railway Co.",1906-01-23,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./15/0086-Marck-v-Minneapolis-St-P-And-SSM-Ry-Co.doc
135,15 N.D. 69,Jacobson v. Ransom County,1906-01-23,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./15/0069-Jacobson-v-Ransom-County.doc
136,14 N.D. 561,State v. Foster,1905-11-24,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0561-State-v-Foster.doc
137,15 N.D. 144,Continental Hose Co. No. 1 v. Mitchell,1906-02-11,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./15/0144-Continental-Hose-Co-No-1-v-Mitchell.doc
138,14 N.D. 435,John Miller Co. v. Klovstad,1905-10-02,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0435-John-Miller-Co-v-Klovstad.doc
139,14 N.D. 487,In re Whittemore,1905-10-23,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0487-In-re-Whittemore.doc
140,14 N.D. 449,Healey v. Forman,1905-10-13,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0449-Healey-v-Forman.doc
141,14 N.D. 460,Mills v. Fortune,1905-10-17,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0460-Mills-v-Fortune.doc
142,14 N.D. 591,Regan v. Jones,1905-11-29,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0591-Regan-v-Jones.doc
